timestamp,sexo,pais_origen,provincia_españa,compania_viaje,dias_estancia,num_empleados_activos,sat_oferta_idiomas,sat_visitas_guiadas,canal_localizacion,sat_trato_personal,sat_idioma_personal,sat_info_general,utilidad_info,sat_tiempo_espera,sat_limpieza,sat_ubicacion,sat_global,sat_horario_valoracion,volveria_usar,sat_mobiliario,sat_iluminacion,sat_folletos_contenido,sat_plano,info_previa_medio,sat_ruido,sat_folletos_idioma,edad,motivo_visita,sat_claridad_lenguaje,sat_folletos_adecuacion,sat_distribucion_espacio,sat_horario_score,instalaciones_visitadas,transporte_llegada,sat_aspecto_personal,sat_senalizacion
2024-03-20,Hombre,Brasil,Madrid,En pareja,3 noches,8,8,8,Los ha encontrado en su recorrido,8,8,8,8,8,8,7,8,8,Sí,9,9,8,8,Guías turísticas publicadas sobre la ciudad,7,8,25-44,"Ocio, recreo y vacaciones",8,8,9,7,PIT del Aeropuerto T-2,Avión,8,6
2024-03-20,Hombre,Alemania,Madrid,En familia,3 noches,9,7,10,Los ha encontrado en su recorrido,10,5,10,10,10,10,10,10,10,Sí,10,10,9,10,Guías turísticas publicadas sobre la ciudad,8,5,+65,"Ocio, recreo y vacaciones",10,10,10,10,PIT de Atocha,Avión,10,9
2024-03-20,Mujer,España,Valencia,En pareja,3 noches,5,10,10,Los ha encontrado en su recorrido,10,10,10,10,5,5,10,8,10,Sí,9,9,10,10,Internet/web (Indicar páginas),4,10,25-44,"Ocio, recreo y vacaciones",10,10,9,10,PIT de Recoletos-Colón,Tren,10,9
2024-03-20,Hombre,España,Murcia,En pareja,3 noches,5,10,10,Los ha encontrado en su recorrido,10,10,10,10,7,10,10,8,10,Sí,10,6,5,8,No ha buscado información,1,3,45-64,Ver un espectáculo en particular (Indicar cuál),10,5,6,10,Centro de Turismo de la Plaza Mayor,Tren,8,6
2024-03-20,Hombre,España,Barcelona,En familia,3 noches,6,10,10,Los ha encontrado en su recorrido,10,10,10,10,6,10,10,8,10,No,10,10,7,9,Internet/web (Indicar páginas),10,10,25-44,"Ocio, recreo y vacaciones",10,6,10,10,Centro de Turismo de la Plaza Mayor,Tren,8,10
2024-03-20,Hombre,Perú,Madrid,En familia,3 noches,10,10,10,Los ha encontrado en su recorrido,10,10,10,10,10,6,10,10,10,Sí,9,9,10,10,Guías turísticas publicadas sobre la ciudad,6,10,25-44,"Ocio, recreo y vacaciones",10,10,9,10,PIT de Recoletos-Colón,Avión,10,10
2024-03-20,Hombre,Estados Unidos,Madrid,En pareja,De 4 a 7 noches,7,10,10,Los ha encontrado en su recorrido,10,10,10,10,4,8,9,9,10,Sí,9,9,8,8,No ha buscado información,3,9,45-64,"Ocio, recreo y vacaciones",10,8,9,10,PIT Palacio Real,Avión,10,7
2024-03-20,Mujer,España,Burgos,En familia,1 noche,8,10,10,Los ha encontrado en su recorrido,10,10,10,10,8,6,10,9,10,Sí,9,9,10,10,No ha buscado información,3,10,45-64,Salud,10,10,9,10,PIT de Recoletos-Colón,Autobús,10,10
2024-03-20,Hombre,Colombia,Madrid,En pareja,2 noches,8,8,9,Los ha encontrado en su recorrido,10,10,9,9,8,8,9,9,10,Sí,8,8,9,9,No ha buscado información,5,9,25-44,"Ocio, recreo y vacaciones",9,9,8,8,PIT Palacio Real,Avión,9,8
2024-03-20,Mujer,Argentina,Madrid,En pareja,3 noches,10,10,10,Los ha encontrado en su recorrido,10,10,10,10,10,6,10,9,10,Sí,9,9,8,8,No ha buscado información,1,10,+65,"Ocio, recreo y vacaciones",10,9,9,10,PIT Palacio Real,Tren,10,10
2024-03-20,Hombre,España,Madrid,Residente,Residente,10,10,10,Los había visto anteriormente,10,10,9,10,10,10,10,10,10,Sí,10,10,10,10,No ha buscado información,9,10,+65,Residente,10,9,10,10,PIT de CentroCentro,Residente,10,9
2024-03-20,Hombre,Polonia,Madrid,Sólo,3 noches,8,8,8,Los ha encontrado en su recorrido,8,8,8,8,8,7,7,8,8,Sí,9,9,8,8,Internet/web (Indicar páginas),5,8,25-44,Familia,8,8,9,7,PIT del Aeropuerto T-2,Avión,8,9
2024-03-20,Mujer,Reino Unido,Madrid,En pareja,De 4 a 7 noches,10,10,10,Los ha encontrado en su recorrido,10,10,10,10,10,10,10,10,10,Sí,9,9,10,10,Internet/web (Indicar páginas),9,10,45-64,"Ocio, recreo y vacaciones",10,10,9,10,PIT del Paseo del Prado,Avión,10,9
2024-03-20,Mujer,España,Madrid,Sólo,Residente,1,10,10,Los había visto anteriormente,10,10,10,10,10,10,6,8,4,Sí,1,4,10,10,No ha buscado información,4,10,45-64,Residente,10,10,1,4,PIT del Aeropuerto T-4,Residente,10,6
2024-03-20,Mujer,España,Madrid,Sólo,Residente,7,10,10,Los ha encontrado en su recorrido,8,10,10,10,8,8,10,10,9,No,10,9,9,9,No ha buscado información,2,9,45-64,Residente,10,9,9,8,PIT Palacio Real,Residente,10,9
2024-03-20,Mujer,Argentina,Madrid,En pareja,3 noches,6,10,10,Los ha encontrado en su recorrido,10,10,9,9,6,10,10,9,10,Sí,10,10,9,9,Internet/web (Indicar páginas),2,9,25-44,Compras,7,9,10,10,Centro de Turismo de la Plaza Mayor,Avión,6,10
2024-03-20,Mujer,Grecia,Madrid,Con amigos,De 4 a 7 noches,8,10,10,Los ha encontrado en su recorrido,10,10,10,10,10,10,10,10,10,Sí,10,10,10,10,Guías turísticas publicadas sobre la ciudad,10,10,25-44,"Ocio, recreo y vacaciones",10,10,10,10,Centro de Turismo de la Plaza Mayor,Avión,8,10
2024-03-20,Mujer,España,Madrid,Residente,Residente,10,10,10,Los había visto anteriormente,10,10,10,10,10,10,10,10,10,Sí,10,10,10,10,No ha buscado información,6,10,+65,Residente,10,10,10,10,Centro de Turismo de la Plaza Mayor,Residente,10,10
2024-03-20,Hombre,España,Madrid,Residente,Residente,5,10,10,Los había visto anteriormente,10,10,10,10,5,5,10,9,10,Sí,9,9,10,10,No ha buscado información,1,10,45-64,Residente,10,10,9,10,PIT Palacio Real,Residente,10,10
2024-03-20,Hombre,España,Madrid,Residente,Residente,6,10,10,Los había visto anteriormente,10,10,10,10,10,9,10,10,10,Sí,9,8,10,9,No ha buscado información,1,10,45-64,Residente,10,10,9,10,PIT del Paseo del Prado,Residente,10,9
2024-03-20,Hombre,España,Barcelona,En familia,2 noches,8,10,10,Los ha encontrado en su recorrido,10,10,10,10,8,8,8,10,10,Sí,8,8,10,10,No ha buscado información,2,10,25-44,"Ocio, recreo y vacaciones",10,10,8,9,PIT Palacio Real,Tren,10,8
